Country,LanguageWorkedWith,Count
Mauritius,PHP,1
Mauritius,Python,1
Mauritius,SQL,1
Mauritius,VB.NET,1
Mauritius,Visual Basic 6,1
Mexico,Assembly,2
Mexico,Bash/Shell,3
Mexico,C#,3
Mexico,CSS,3
Mexico,Go,1
Mexico,HTML,3
Mexico,JavaScript,5
Mexico,Lua,1
Mexico,PHP,1
Mexico,Python,7
Mexico,R,2
Mexico,Ruby,1
Mexico,SQL,6
Mexico,VB.NET,1
Mexico,VBA,1
Morocco,Bash/Shell,1
Morocco,C,2
Morocco,C#,1
Morocco,C++,2
Morocco,CSS,3
Morocco,Go,1
Morocco,HTML,3
Morocco,Java,1
Morocco,JavaScript,3
Morocco,Perl,1
Morocco,PHP,1
Morocco,Python,3
Morocco,R,1
Morocco,Ruby,2
Morocco,SQL,3
Morocco,VBA,1
Mozambique,JavaScript,1
Mozambique,Python,1
Mozambique,R,1
Mozambique,SQL,1
Nepal,Assembly,1
Nepal,Bash/Shell,1
Nepal,C,1
Nepal,C++,1
Nepal,CSS,2
Nepal,HTML,2
Nepal,Java,1
Nepal,JavaScript,1
Nepal,Matlab,2
Nepal,PHP,1
Nepal,Python,2
Nepal,R,1
Nepal,SQL,2
Netherlands,Assembly,1
Netherlands,Bash/Shell,6
Netherlands,C,5
Netherlands,C#,2
Netherlands,C++,4
Netherlands,Cobol,2
Netherlands,CSS,6
Netherlands,F#,1
Netherlands,Go,1
Netherlands,HTML,7
Netherlands,Java,2
Netherlands,JavaScript,5
Netherlands,Kotlin,1
Netherlands,Lua,1
Netherlands,Matlab,1
Netherlands,PHP,2
Netherlands,Python,11
Netherlands,R,10
Netherlands,Scala,1
Netherlands,SQL,11
Netherlands,TypeScript,1
Netherlands,VB.NET,1
Netherlands,VBA,2
Netherlands,Visual Basic 6,1
New Zealand,Bash/Shell,3
New Zealand,C,1
New Zealand,C#,2
New Zealand,C++,1
New Zealand,CSS,2
New Zealand,HTML,2
New Zealand,Java,2
New Zealand,PHP,1
New Zealand,Python,6
New Zealand,R,5
New Zealand,SQL,7
New Zealand,VBA,1
Nigeria,Assembly,1
Nigeria,Bash/Shell,1
Nigeria,C,1
Nigeria,C#,1
Nigeria,C++,1
Nigeria,Clojure,1
Nigeria,Cobol,1
Nigeria,CoffeeScript,1
Nigeria,CSS,2
Nigeria,Delphi/Object Pascal,1
Nigeria,Erlang,1
Nigeria,F#,1
Nigeria,Go,1
Nigeria,Groovy,1
Nigeria,Hack,1
Nigeria,Haskell,1
Nigeria,HTML,2
Nigeria,Java,1
Nigeria,JavaScript,2
Nigeria,Julia,1
Nigeria,Kotlin,1
Nigeria,Lua,1
Nigeria,Matlab,1
Nigeria,Objective-C,1
Nigeria,Ocaml,1
Nigeria,Perl,1
Nigeria,PHP,1
Nigeria,Python,2
Nigeria,R,1
Nigeria,Ruby,1
Nigeria,Rust,1
Nigeria,Scala,1
Nigeria,SQL,1
Nigeria,Swift,1
Nigeria,VB.NET,1
Nigeria,VBA,1
Nigeria,Visual Basic 6,1
Norway,Assembly,1
Norway,Bash/Shell,1
Norway,C#,3
Norway,C++,2
Norway,CSS,3
Norway,HTML,4
Norway,Java,1
Norway,JavaScript,3
Norway,Matlab,2
Norway,Perl,1
Norway,PHP,1
Norway,Python,5
Norway,R,5
Norway,Scala,1
Norway,SQL,8
Norway,VB.NET,1
Pakistan,Assembly,1
Pakistan,Bash/Shell,1
Pakistan,C,3
Pakistan,C#,1
Pakistan,C++,1
Pakistan,CSS,1
Pakistan,HTML,1
Pakistan,Java,2
Pakistan,JavaScript,1
Pakistan,PHP,1
Pakistan,Python,2
Pakistan,R,2
Pakistan,Ruby,1
Pakistan,SQL,2
Pakistan,VBA,1
Peru,Python,1
Peru,R,1
Peru,SQL,1
Philippines,Bash/Shell,2
Philippines,CSS,1
Philippines,HTML,1
Philippines,JavaScript,1
Philippines,Matlab,2
Philippines,PHP,1
Philippines,Python,3
Philippines,R,2
Philippines,SQL,3
Philippines,VBA,1
Poland,Assembly,2
Poland,Bash/Shell,6
Poland,C,2
Poland,C#,6
Poland,C++,6
Poland,CSS,2
Poland,Go,2
Poland,Groovy,1
Poland,Haskell,1
Poland,HTML,2
Poland,Java,4
Poland,JavaScript,4
Poland,Matlab,4
Poland,Perl,1
Poland,PHP,1
Poland,Python,11
Poland,R,7
Poland,Ruby,1
Poland,Rust,1
Poland,Scala,2
Poland,SQL,7
Portugal,Bash/Shell,2
Portugal,C,3
Portugal,C#,2
Portugal,C++,3
Portugal,CSS,2
Portugal,Go,1
Portugal,HTML,3
Portugal,Java,1
Portugal,JavaScript,2
Portugal,Lua,1
Portugal,Matlab,2
Portugal,PHP,2
Portugal,Python,5
Portugal,R,2
Portugal,Scala,1
Portugal,SQL,3
Portugal,VBA,1
Romania,C#,1
Romania,CSS,1
Romania,Go,1
Romania,HTML,1
Romania,Java,2
Romania,JavaScript,1
Romania,Perl,1
Romania,Python,3
Romania,R,2
Romania,SQL,1
Russia,Bash/Shell,5
Russia,C,2
Russia,C++,6
Russia,CSS,3
Russia,Haskell,1
Russia,HTML,3
Russia,Java,2
Russia,Matlab,2
Russia,PHP,2
Russia,Python,10
Russia,R,3
Russia,Ruby,1
Russia,Scala,3
Russia,SQL,4
Russia,VB.NET,1
Russia,VBA,2
Saudi Arabia,Bash/Shell,1
Saudi Arabia,C#,1
Saudi Arabia,CSS,1
Saudi Arabia,HTML,1
Saudi Arabia,JavaScript,1
Saudi Arabia,Matlab,1
Saudi Arabia,PHP,1
Saudi Arabia,Python,1
Saudi Arabia,SQL,2
Saudi Arabia,VBA,1
Serbia,Bash/Shell,1
Serbia,CSS,1
Serbia,HTML,1
Serbia,JavaScript,1
Serbia,PHP,1
Serbia,Python,1
Serbia,SQL,1
Singapore,Bash/Shell,4
Singapore,C,1
Singapore,C#,2
Singapore,C++,4
Singapore,CSS,2
Singapore,Groovy,1
Singapore,HTML,2
Singapore,Java,2
Singapore,JavaScript,2
Singapore,Julia,1
Singapore,Matlab,3
Singapore,Python,6
Singapore,R,6
Singapore,Scala,2
Singapore,SQL,5
Singapore,TypeScript,1
Singapore,VB.NET,1
Singapore,VBA,1
Slovakia,Bash/Shell,1
Slovakia,CSS,1
Slovakia,Go,1
Slovakia,HTML,1
Slovakia,JavaScript,2
Slovakia,PHP,1
Slovakia,Python,2
Slovakia,SQL,1
Slovakia,TypeScript,1
Slovenia,C++,1
Slovenia,Delphi/Object Pascal,1
Slovenia,Python,1
Slovenia,SQL,1
South Africa,Bash/Shell,1
South Africa,C++,2
South Africa,Java,1
South Africa,Matlab,1
South Africa,Python,1
South Africa,R,1
South Africa,Scala,1
South Africa,SQL,4
South Africa,VBA,1
South Korea,CSS,1
South Korea,HTML,1
South Korea,Python,2
South Korea,R,2
South Korea,SQL,1
Spain,Bash/Shell,11
Spain,C,1
Spain,C++,6
Spain,Cobol,2
Spain,CSS,3
Spain,HTML,5
Spain,Java,8
Spain,JavaScript,8
Spain,Lua,3
Spain,Matlab,3
Spain,Perl,2
Spain,PHP,1
Spain,Python,17
Spain,R,12
Spain,Ruby,2
Spain,Scala,3
Spain,SQL,12
Spain,Swift,1
Spain,VB.NET,1
Spain,VBA,4
Spain,Visual Basic 6,1
Sweden,Bash/Shell,2
Sweden,C++,2
Sweden,Delphi/Object Pascal,1
Sweden,Java,2
Sweden,Matlab,1
Sweden,Objective-C,1
Sweden,Perl,2
Sweden,Python,6
Sweden,R,6
Sweden,Scala,1
Sweden,SQL,5
Sweden,Swift,1
Switzerland,Bash/Shell,4
Switzerland,C#,1
Switzerland,C++,1
Switzerland,CSS,3
Switzerland,HTML,3
Switzerland,JavaScript,3
Switzerland,Lua,1
Switzerland,Matlab,1
Switzerland,PHP,1
Switzerland,Python,7
Switzerland,R,3
Switzerland,Scala,1
Switzerland,SQL,5
Taiwan,Bash/Shell,2
Taiwan,C,1
Taiwan,C++,2
Taiwan,HTML,1
Taiwan,Java,1
Taiwan,Matlab,1
Taiwan,Perl,1
Taiwan,Python,2
Taiwan,R,1
Taiwan,Ruby,1
Taiwan,SQL,1
Taiwan,VB.NET,1
Taiwan,VBA,1
Taiwan,Visual Basic 6,1
Thailand,C,1
Thailand,C#,1
Thailand,C++,1
Thailand,HTML,1
Thailand,Python,1
Thailand,SQL,1
Turkey,Assembly,2
Turkey,Bash/Shell,4
Turkey,C,3
Turkey,C#,2
Turkey,C++,3
Turkey,CSS,3
Turkey,Delphi/Object Pascal,1
Turkey,Groovy,1
Turkey,Haskell,1
Turkey,HTML,3
Turkey,Java,4
Turkey,JavaScript,2
Turkey,Matlab,5
Turkey,PHP,3
Turkey,Python,7
Turkey,R,4
Turkey,Scala,1
Turkey,SQL,6
Turkey,VB.NET,1
Turkey,VBA,1
Uganda,C,1
Uganda,HTML,1
Uganda,Java,2
Uganda,VB.NET,1
Uganda,VBA,2
Ukraine,Assembly,1
Ukraine,Bash/Shell,1
Ukraine,C#,2
Ukraine,C++,1
Ukraine,CSS,5
Ukraine,HTML,5
Ukraine,Java,2
Ukraine,JavaScript,4
Ukraine,PHP,4
Ukraine,Python,1
Ukraine,SQL,6
Ukraine,VBA,4
United Kingdom,Assembly,3
United Kingdom,Bash/Shell,35
United Kingdom,C,8
United Kingdom,C#,11
United Kingdom,C++,12
United Kingdom,Clojure,1
United Kingdom,Cobol,1
United Kingdom,CoffeeScript,1
United Kingdom,CSS,32
United Kingdom,F#,1
United Kingdom,Go,5
United Kingdom,Haskell,5
United Kingdom,HTML,41
United Kingdom,Java,20
United Kingdom,JavaScript,36
United Kingdom,Julia,2
United Kingdom,Kotlin,1
United Kingdom,Matlab,13
United Kingdom,Objective-C,2
United Kingdom,Perl,4
United Kingdom,PHP,8
United Kingdom,Python,64
United Kingdom,R,49
United Kingdom,Ruby,3
United Kingdom,Rust,1
United Kingdom,Scala,10
United Kingdom,SQL,64
United Kingdom,Swift,2
United Kingdom,TypeScript,3
United Kingdom,VB.NET,5
United Kingdom,VBA,18
United Kingdom,Visual Basic 6,4
United Republic of Tanzania,C,1
United Republic of Tanzania,C++,1
United Republic of Tanzania,CSS,1
United Republic of Tanzania,HTML,1
United Republic of Tanzania,Java,1
United Republic of Tanzania,JavaScript,1
United Republic of Tanzania,SQL,1
United Republic of Tanzania,Visual Basic 6,1
United States of America,Assembly,12
United States of America,Bash/Shell,163
United States of America,C,40
United States of America,C#,36
United States of America,C++,57
United States of America,Clojure,5
United States of America,Cobol,5
United States of America,CoffeeScript,6
United States of America,CSS,101
United States of America,Delphi/Object Pascal,1
United States of America,Erlang,2
United States of America,F#,1
United States of America,Go,20
United States of America,Groovy,5
United States of America,Hack,1
United States of America,Haskell,9
United States of America,HTML,120
United States of America,Java,87
United States of America,JavaScript,90
United States of America,Julia,11
United States of America,Lua,4
United States of America,Matlab,29
United States of America,Objective-C,3
United States of America,Ocaml,1
United States of America,Perl,15
United States of America,PHP,15
United States of America,Python,268
United States of America,R,190
United States of America,Ruby,10
United States of America,Rust,8
United States of America,Scala,47
United States of America,SQL,236
United States of America,Swift,7
United States of America,TypeScript,5
United States of America,VB.NET,7
United States of America,VBA,60
United States of America,Visual Basic 6,7
Uruguay,R,1
Venezuela,Assembly,1
Venezuela,C,1
Venezuela,C#,1
Venezuela,C++,1
Venezuela,CSS,1
Venezuela,HTML,1
Venezuela,JavaScript,1
Venezuela,Matlab,1
Venezuela,Python,1
Venezuela,R,1
Venezuela,SQL,1
Venezuela,VBA,1
Vietnam,Bash/Shell,1
Vietnam,C,2
Vietnam,C#,1
Vietnam,C++,1
Vietnam,CSS,3
Vietnam,Go,1
Vietnam,HTML,3
Vietnam,Java,3
Vietnam,JavaScript,3
Vietnam,Python,3
Vietnam,R,1
Vietnam,Ruby,1
